"filename","band","tag","stage","first_set"
"logos/band_making_movies.png","Making Movies","other","Americaplatz","2026-08-04 7:30 PM"
"logos/band_sophie_rice.png","Sophie Rice","other","Lyrikplatz","2026-08-04 8:00 PM"
"logos/band_the_artisan_blue_band.png","The Artisan Blue Band","other","Jazz Cabaret","2026-08-04 8:00 PM"
"logos/band_attack_dog.png","Attack Dog","other","Main Street","2026-08-04 8:30 PM"
"logos/band_yesterday_s_gone.png","Yesterday's Gone","other","Zinzenplatz","2026-08-04 9:00 PM"
"logos/band_rogue_diplomats.png","Rogue Diplomats","other","Liederplatz","2026-08-04 9:00 PM"
"logos/band_romeo_delight_a_tribute_to_van_halen.png","Romeo Delight: A Tribute to Van Halen","other","Stadtplatz","2026-08-04 9:30 PM"
"logos/band_powder_valley_bang.png","Powder Valley Bang","other","Plaza Tropical","2026-08-04 9:30 PM"
"logos/band_dear_anna.png","Dear Anna","other","Community Stage","2026-08-04 11:00 PM"
"logos/band_the_flaming_ginger.png","The Flaming Ginger","other","Main Street","2026-08-05 12:00 PM"
"logos/band_liberty_jams.png","Liberty Jams","Dead/jam","Plaza Tropical","2026-08-05 12:00 PM"
"logos/band_hayley_jackson.png","Hayley Jackson","other","Main Street","2026-08-05 12:00 PM"
"logos/band_cate_great.png","Cate Great","other","Main Street","2026-08-05 12:00 PM"
"logos/band_rue_vega.png","Rue Vega","other","Lagerplatz","2026-08-05 12:00 PM"
"logos/band_robbie_lawrence_and_the_steelworkers_polka_band.png","Robbie Lawrence & the Steelworkers Polka Band","other","Festplatz","2026-08-05 12:00 PM"
"logos/band_julia_miralles_band.png","Julia Miralles Band","other","Lagerplatz","2026-08-05 1:00 PM"
"logos/band_tim_harakal.png","Tim Harakal","other","Main Street","2026-08-05 1:30 PM"
"logos/band_big_bone_daddy.png","Big Bone Daddy","other","Lagerplatz","2026-08-05 3:00 PM"
"logos/band_the_castaway_band.png","The Castaway Band","other","Festplatz","2026-08-05 3:30 PM"
"logos/band_reggaelar_people.png","Reggaelar People","other","Plaza Tropical","2026-08-05 4:00 PM"
"logos/band_caryn_dixon.png","Caryn Dixon","other","Main Street","2026-08-05 4:30 PM"
"logos/band_andrew_tirado_trio.png","Andrew Tirado Trio","other","Liederplatz","2026-08-05 5:00 PM"
"logos/band_zining_fan.png","Zining Fan","other","Vesper Series","2026-08-05 5:00 PM"
"logos/band_sarah_harrington.png","Sarah Harrington","other","Lyrikplatz","2026-08-05 5:00 PM"
"logos/band_cpr_and_sarah_ayers.png","CPR & Sarah Ayers","other","Zinzenplatz","2026-08-05 5:00 PM"
"logos/band_the_frost_duo.png","The Frost Duo","other","Jazz Cabaret","2026-08-05 5:30 PM"
"logos/band_the_musikschoepp_duo.png","The MusikSchoepp Duo","other","Vesper Series","2026-08-05 5:30 PM"
"logos/band_dmc_duo.png","DMC DUO","other","Hotel Bethlehem","2026-08-05 5:30 PM"
"logos/band_clover_stieve.png","Clover Stieve","other","Americaplatz","2026-08-05 6:00 PM"
"logos/band_the_hot_mamas.png","The Hot Mamas","other","Stadtplatz","2026-08-05 6:00 PM"
"logos/band_korina_zambrano.png","Korina Zambrano","other","Lyrikplatz","2026-08-05 6:00 PM"
"logos/band_maria_woodford_and_the_wheel.png","Maria Woodford & the Wheel","other","Lagerplatz","2026-08-05 6:00 PM"
"logos/band_the_wonton_soups.png","The Wonton Soups","other","Festplatz","2026-08-05 6:00 PM"
"logos/band_t_i_with_special_guest_dababy.png","T.I. with special guest DaBaby","other","Steel Stage","2026-08-05 6:00 PM"
"logos/band_coby_siegel.png","Coby Siegel","other","Main Street","2026-08-05 6:30 PM"
"logos/band_the_big_wahu_caribbean_band.png","The Big Wahu Caribbean Band","other","Plaza Tropical","2026-08-05 6:30 PM"
"logos/band_the_aw_shucks_corn_eating_competition.png","The Aw Shucks Corn Eating Competition","other","Stadtplatz","2026-08-05 7:00 PM"
"logos/band_stacy_gabel_a_touch_of_class.png","Stacy Gabel: A Touch of Class","other","Liederplatz","2026-08-05 7:00 PM"
"logos/band_tabitha_meeks.png","Tabitha Meeks","other","Zinzenplatz","2026-08-05 7:00 PM"
